fold,split,recording_id,subject,session,mosaic_path,json_path
fold0,val,gA_1_s1_2019-03-08T09;31;15+01;00,gA_1,s1,/home/user/文档/ICRA2027/dataset/DMD_distraction_extracted/dmd/gA/1/s1/gA_1_s1_2019-03-08T09;31;15+01;00_rgb_mosaic.avi,/home/user/文档/ICRA2027/dataset/DMD_distraction_extracted/dmd/gA/1/s1/gA_1_s1_2019-03-08T09;31;15+01;00_rgb_ann_distraction.json
fold0,val,gA_1_s2_2019-03-08T09;21;03+01;00,gA_1,s2,/home/user/文档/ICRA2027/dataset/DMD_distraction_extracted/dmd/gA/1/s2/gA_1_s2_2019-03-08T09;21;03+01;00_rgb_mosaic.avi,/home/user/文档/ICRA2027/dataset/DMD_distraction_extracted/dmd/gA/1/s2/gA_1_s2_2019-03-08T09;21;03+01;00_rgb_ann_distraction.json
fold0,val,gA_1_s3_2019-03-14T14;31;08+01;00,gA_1,s3,/home/user/文档/ICRA2027/dataset/DMD_distraction_extracted/dmd/gA/1/s3/gA_1_s3_2019-03-14T14;31;08+01;00_rgb_mosaic.avi,/home/user/文档/ICRA2027/dataset/DMD_distraction_extracted/dmd/gA/1/s3/gA_1_s3_2019-03-14T14;31;08+01;00_rgb_ann_distraction.json
fold0,val,gA_5_s1_2019-03-08T10;57;00+01;00,gA_5,s1,/home/user/文档/ICRA2027/dataset/DMD_distraction_extracted/dmd/gA/5/s1/gA_5_s1_2019-03-08T10;57;00+01;00_rgb_mosaic.avi,/home/user/文档/ICRA2027/dataset/DMD_distraction_extracted/dmd/gA/5/s1/gA_5_s1_2019-03-08T10;57;00+01;00_rgb_ann_distraction.json
fold0,val,gA_5_s2_2019-03-08T10;46;46+01;00,gA_5,s2,/home/user/文档/ICRA2027/dataset/DMD_distraction_extracted/dmd/gA/5/s2/gA_5_s2_2019-03-08T10;46;46+01;00_rgb_mosaic.avi,/home/user/文档/ICRA2027/dataset/DMD_distraction_extracted/dmd/gA/5/s2/gA_5_s2_2019-03-08T10;46;46+01;00_rgb_ann_distraction.json
fold0,val,gA_5_s3_2019-03-13T09;10;35+01;00,gA_5,s3,/home/user/文档/ICRA2027/dataset/DMD_distraction_extracted/dmd/gA/5/s3/gA_5_s3_2019-03-13T09;10;35+01;00_rgb_mosaic.avi,/home/user/文档/ICRA2027/dataset/DMD_distraction_extracted/dmd/gA/5/s3/gA_5_s3_2019-03-13T09;10;35+01;00_rgb_ann_distraction.json
fold0,train,gB_10_s1_2019-03-11T15;24;54+01;00,gB_10,s1,/home/user/文档/ICRA2027/dataset/DMD_distraction_extracted/dmd/gB/10/s1/gB_10_s1_2019-03-11T15;24;54+01;00_rgb_mosaic.avi,/home/user/文档/ICRA2027/dataset/DMD_distraction_extracted/dmd/gB/10/s1/gB_10_s1_2019-03-11T15;24;54+01;00_rgb_ann_distraction.json
fold0,train,gB_10_s2_2019-03-11T15;15;21+01;00,gB_10,s2,/home/user/文档/ICRA2027/dataset/DMD_distraction_extracted/dmd/gB/10/s2/gB_10_s2_2019-03-11T15;15;21+01;00_rgb_mosaic.avi,/home/user/文档/ICRA2027/dataset/DMD_distraction_extracted/dmd/gB/10/s2/gB_10_s2_2019-03-11T15;15;21+01;00_rgb_ann_distraction.json
fold0,train,gB_10_s3_2019-03-12T10;40;46+01;00,gB_10,s3,/home/user/文档/ICRA2027/dataset/DMD_distraction_extracted/dmd/gB/10/s3/gB_10_s3_2019-03-12T10;40;46+01;00_rgb_mosaic.avi,/home/user/文档/ICRA2027/dataset/DMD_distraction_extracted/dmd/gB/10/s3/gB_10_s3_2019-03-12T10;40;46+01;00_rgb_ann_distraction.json
fold0,train,gB_10_s3_2019-03-13T14;22;40+01;00,gB_10,s3,/home/user/文档/ICRA2027/dataset/DMD_distraction_extracted/dmd/gB/10/s3/gB_10_s3_2019-03-13T14;22;40+01;00_rgb_mosaic.avi,/home/user/文档/ICRA2027/dataset/DMD_distraction_extracted/dmd/gB/10/s3/gB_10_s3_2019-03-13T14;22;40+01;00_rgb_ann_distraction.json
