fold,split,subjects,n_subjects,n_recordings,native14_intervals,main11_intervals,noncanonical3_intervals,main11_coverage,native14_coverage,unassigned_recordings,safe_drive,texting_right,phonecall_right,texting_left,phonecall_left,radio,drinking,reach_side,hair_and_makeup,talking_to_passenger,reach_backseat,unclassified,change_gear,standstill_or_waiting
fold0,train,gB_10;gB_6;gB_7;gB_9;gC_14;gE_28;gE_29;gZ_33;gZ_36,9,30,1453,1253,200,11/11,14/14,0,502,29,21,27,20,53,46,322,47,166,20,192,5,3
fold0,val,gA_1;gA_5;gF_23,3,13,533,485,48,11/11,13/14,0,180,11,8,11,8,18,25,134,17,65,8,47,0,1
fold0,test,gC_13;gZ_37,2,6,289,249,40,11/11,12/14,0,97,7,4,6,4,9,9,66,7,36,4,40,0,0
fold1,train,gB_6;gB_7;gB_9;gC_13;gC_14;gZ_33;gZ_36;gZ_37,8,27,1320,1131,189,11/11,13/14,0,455,26,19,25,18,47,43,291,37,152,18,184,5,0
fold1,val,gB_10;gE_28;gE_29,3,9,422,371,51,11/11,13/14,0,144,10,6,8,6,15,12,97,17,50,6,48,0,3
fold1,test,gA_1;gA_5;gF_23,3,13,533,485,48,11/11,13/14,0,180,11,8,11,8,18,25,134,17,65,8,47,0,1
fold2,train,gA_1;gA_5;gB_7;gB_9;gC_13;gF_23;gZ_33;gZ_37,8,31,1418,1236,182,11/11,14/14,0,487,27,21,26,20,53,54,327,38,163,20,177,4,1
fold2,val,gB_6;gC_14;gZ_36,3,9,435,380,55,11/11,13/14,0,148,10,6,10,6,12,14,98,16,54,6,54,1,0
fold2,test,gB_10;gE_28;gE_29,3,9,422,371,51,11/11,13/14,0,144,10,6,8,6,15,12,97,17,50,6,48,0,3
fold3,train,gA_1;gA_5;gB_10;gC_13;gE_28;gE_29;gF_23;gZ_37,8,28,1244,1105,139,11/11,13/14,0,421,28,18,25,18,42,46,297,41,151,18,135,0,4
fold3,val,gB_7;gB_9;gZ_33,3,12,596,502,94,11/11,13/14,0,210,9,9,9,8,26,20,127,14,62,8,90,4,0
fold3,test,gB_6;gC_14;gZ_36,3,9,435,380,55,11/11,13/14,0,148,10,6,10,6,12,14,98,16,54,6,54,1,0
fold4,train,gA_1;gA_5;gB_10;gB_6;gC_14;gE_28;gE_29;gF_23;gZ_36,9,31,1390,1236,154,11/11,14/14,0,472,31,20,29,20,45,51,329,50,169,20,149,1,4
fold4,val,gC_13;gZ_37,2,6,289,249,40,11/11,12/14,0,97,7,4,6,4,9,9,66,7,36,4,40,0,0
fold4,test,gB_7;gB_9;gZ_33,3,12,596,502,94,11/11,13/14,0,210,9,9,9,8,26,20,127,14,62,8,90,4,0
